напомина́ть;przypominać 
напомина́ние; przypominanie 
пра́здник;święto 
ду́мать; myśleć,przypuszczać
поду́мать;pomyśleć
ско́ро;wkrótce, prędko
вку́с; smak
пода́рок;prezent
дари́ть;dawać w prezencie, obdarowywać
успе́ть;zdążyć, nadążyć
пре́жде; przedtem, najpierw,przed
пре́жде всего́; przede wszystkim 
кофто́чка;bluzeczka
ко́фта;(1.1) bluzka (1.2) cienki sweterek, cardigan 
осо́бенно;(1.1) szczególnie, wyjątkowo
ше́рсть;rzeczownik, r. żeński (1.1) sierść (1.2) wełna (materiał) (1.3) włóczka, wełna, przędza 
шарф;rzeczownik, r męski(1.1) szalik (1.2) szal 
перча́тка; rzeczownik, r żeński,  (1.1) rękawiczka (z pięcioma palcami)  (1.2) rękawica (bokserska) 
лы́жи; narty 
коньки́;łyżwy 
посу́да;naczynia
подня́ться;czasownik dokonany (1.1) podnieść się 
пла́тье;rzeczownik, r.n. (1.1) sukienka, suknia 
мех;rzeczownik, r.m.(1.1) futro, futerko(1.2) futro(1.3) miech(1.4) bukłak 
внима́тельно;uważnie
ска́терть;rzeczownik, r.ż.(1.1) obrus (1.2) serweta 
вдруг;przysłówek (1.1) nagle, raptem, wtem  2. partykuła (2.1) a jeśli, a nuż 
бусы́;korale
янта́рь; bursztyn
набо́р;zestaw,rekrutacja
почти́ ;przysłówek  (1.1) prawie, niemal 
будничный;powszedni
па́пка;rzeczownik, r.ż.(1.1) teczka(1.2) inform. katalog 2.rzeczownik, r.m. (2.1) tatuś 
ту́фля;pantofel
га́лстук;krawat


 
